sep=;,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,police,unsafe location mode,unsafe location time of day,unsafe location cause,safe location mode,safe location cause,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
233,positive,,,,,,,,,,,,,,walk,"safe-speed, car-traffic, good-sidewalk, good-lighting, good-sign",,,,,,"2398 Bancroft Way, Berkeley, CA, 94704, USA",2019/03/13,37.868148,-122.2616835,point,"-122.26168300010212,37.86814799967605"
234,positive,,,,,,,,,,,,,,walk,"safe-speed, good-sidewalk, good-lighting",,,,,,"Gayley Rd, Berkeley, CA, 94720, USA",2019/03/13,37.87234075,-122.2534913,point,"-122.25349099981987,37.872340999667294"
235,unsafe,,,,,,,,,,,walk,"day, night","poor-sign, no-yield",,,,,,,,"2020-2098 Berkeley Way, Berkeley, CA, 94704, USA",2019/03/13,37.87295608,-122.2684981,point,"-122.26849799983484,37.872955999819965"
236,nearMiss,02/2019,walk,day,"driver, ped",,none,,,"no-yield, unsafe-speed, other",,,,,,,,,,,,"SUBWAY, 92 Shattuck Sq, Berkeley, CA, 94704, USA",2019/03/13,37.87137,-122.26774,point,"-122.26773999960143,37.871369999715185"
238,unsafe,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed",,,,,,,,"2451-2499 Parker St, Berkeley, CA, 94704, USA",2019/03/13,37.86328588,-122.2586892,point,"-122.2586889997018,37.863286000090575"
239,nearMiss,03/13/2019,other,day,driver,,none,,,no-yield,,,,,,,,,,,,"1-28 Rim Way, Berkeley, CA, 94720, USA",2019/03/13,37.87251113,-122.253715,point,"-122.25371500012585,37.872510999998084"
240,nearMiss,11/2018,ride,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"2001-2005 Marin Ave, Berkeley, CA, 94707, USA",2019/03/13,37.89032076,-122.2721702,point,"-122.27217000010258,37.89032099990676"
241,nearMiss,01/2019,walk,night,"driver, ped",,none,,,no-yield,,,,,,,,,,,,"1836-1898 University Ave, Berkeley, CA, 94703, USA",2019/03/13,37.87145707,-122.2729973,point,"-122.27299699993293,37.871456999707725"
251,nearMiss,03/22/2019,bike,day,driver,,none,,,"poor-bikelane, other",,,,,,,,,,,,"2121-2139 Oxford St, Berkeley, CA, 94704, USA",2019/03/23,37.87045583,-122.2657433,point,"-122.26574299980908,37.87045599968105"
252,incident,,walk,,,,,,,,,,,,,,,,,,,"2121-2139 Oxford St, Berkeley, CA, 94704, USA",2019/03/23,37.87045583,-122.2657433,point,"-122.26574299980908,37.87045599968105"
253,unsafe,,,,,,,,,,,bike,day,other,,,,,,,,"Oxford St, Berkeley, CA, 94704, USA",2019/03/23,37.87112554,-122.2658954,point,"-122.26589500014506,37.871125999668784"
254,nearMiss,03/2019,bike,,driver,,none,,,other,,,,,,,,,,,,"2201-2223 Hearst Ave, Berkeley, CA, 94709, USA",2019/03/23,37.87422024,-122.2663132,point,"-122.26631299972149,37.87421999999513"
275,unsafe,,,,,,,,,,,other,,,,,,,,,,"1700-1722 Chestnut St, Berkeley, CA, 94702, USA",2019/03/27,37.87320763,-122.2885379,point,"-122.28853799987526,37.873208000302164"
276,nearMiss,03/20/2019,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"2825-2869 9th St, Berkeley, CA, 94710, USA",2019/03/27,37.85400909,-122.289643,point,"-122.28964300043826,37.854008999937484"
283,nearMiss,,bike,,,,,,,,,,,,,,,,,,,"1305-1305 Rose St, Berkeley, CA, 94702, USA",2019/04/04,37.87700432,-122.2884723,point,"-122.28847199975303,37.87700399993331"
284,nearMiss,,bike,,,,,,,,,,,,,,,,,,,"1442 Walnut St, Berkeley, CA, 94709, USA",2019/04/04,37.88058359,-122.2682364,point,"-122.26823599989399,37.880584000072794"
285,positive,,,,,,,,,,,,,,"walk, bike",,,,,,,"1701-1899 Spruce St, Berkeley, CA, 94709, USA",2019/04/04,37.87426535,-122.2652623,point,"-122.26526199958515,37.87426499982818"
286,nearMiss,,walk,,,,,,,,,,,,,,,,,,,"Allston Way, Berkeley, CA, 94704, USA",2019/04/04,37.86940737,-122.2678807,point,"-122.26788100006677,37.8694069999279"
287,nearMiss,,walk,,,,,,,,,,,,,,,,,,,"2601-2627 Bancroft Way, Berkeley, CA, 94704, USA",2019/04/04,37.86911779,-122.2564196,point,"-122.25641999992287,37.86911799965001"
290,positive,,,,,,,,,,,,,,walk,,,,,,,"2525 Ashby Ave, Berkeley, CA, 94705, USA",2019/04/04,37.85673539,-122.2556933,point,"-122.25569299965163,37.856734999706816"
292,incident,,bike,,,,,car-door,,,,,,,,,,,,,,"3016-3028 Shattuck Ave, Berkeley, CA, 94705, USA",2019/04/04,37.85416126,-122.2664508,point,"-122.26645099981373,37.85416099970626"
349,nearMiss,04/08/2019,bike,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"Oxford St, Berkeley, CA, 94704, USA",2019/04/08,37.87334996,-122.2662624,point,"-122.26626199966785,37.87334999971019"
353,nearMiss,04/08/2019,bike,day,driver,,none,,,poor-sign,,,,,,,,,,,,"2988-2998 Fulton St, Berkeley, CA, 94705, USA",2019/04/09,37.85579665,-122.263575,point,"-122.2635750003125,37.855797000093716"
405,incident,04/2019,bike,day,driver,,none,car-door,I was doored on my bike by a car parked on the south side of Hearst.,,no,,,,,,,,,,,"1910-1928 Hearst Ave, Berkeley, CA, 94709, USA",2019/04/25,37.87334518,-122.2725687,point,"-122.27256900031075,37.87334499982558"
409,unsafe,,,,,,,,,,,"walk, wheelchair","day, night","poor-street, no-yield, driving-speed",,,,,,,,"Asha Tea House, 2086 University Ave, Berkeley, CA, 94704, USA",2019/04/27,37.87203995,-122.2687099,point,"-122.26871000044524,37.872039999900565"
410,unsafe,,,,,,,,,,,"walk, wheelchair","day, night",other,,,,,,,,"1800-1898 Milvia St, Berkeley, CA, 94709, USA",2019/04/27,37.87402864,-122.2710734,point,"-122.2710729999355,37.874029000177046"
412,incident,04/2018,ride,day,driver,,minor,no-yield,"The other driver was impatient, and decided to run the stop sign",,yes,,,,,,,,,,,"2727 Milvia St, Berkeley, CA, 94703, USA",2019/04/27,37.85957628,-122.269356,point,"-122.26935599962731,37.85957599987203"
415,nearMiss,04/23/2019,walk,day,"driver, ped, wheelchair",,none,,,"poor-sign, no-yield, unsafe-speed",,,,,,,,,,,,"2951 Derby St, Berkeley, CA, 94705, USA",2019/04/27,37.86251148,-122.2470437,point,"-122.24704400033322,37.86251100026454"
416,unsafe,,,,,,,,,,,wheelchair,"day, night",poor-sidewalk,,,,,,,,"Claremont Blvd & Derby St, Berkeley, CA, 94705, USA",2019/04/27,37.862487,-122.247063,point,"-122.24706299970146,37.86248699997971"
417,incident,,walk,day,driver,,fatal,,This was a person's death The welding truck people driving did not see the group of kids that were crossing  and the person was killed,,yes,,,,,,,,,,,"2677-2699 Warring St, Berkeley, CA, 94720, USA",2019/04/27,37.8623916,-122.250056,point,"-122.25005600027689,37.862392000164334"
418,unsafe,,,,,,,,,,,bike,day,,,,,,,,,"Cedar St, Berkeley, CA, 94708, USA",2019/04/27,37.87900435,-122.2645895,point,"-122.2645889997406,37.879003999664064"
519,unsafe,,,,,,,,,,,bike,"day, night",,,,,,,,,"Milvia St & University Ave, Berkeley, CA, 94704, USA",2019/05/05,37.871802,-122.270751,point,"-122.2707509997202,37.871801999791614"
551,unsafe,,,,,,,,,,,bike,day,obstacle,,,,,,,,"Shattuck Ave & Ashby Ave, Berkeley, CA, 94705, USA",2019/05/10,37.855278,-122.266521,point,"-122.26652100013395,37.85527799997054"
555,unsafe,,,,,,,,,,,"walk, bike, ride","day, night","poor-sidewalk, poor-bikelane, obstacle",,,,,,,,"Gilman St, Berkeley, CA, 94710, USA",2019/05/10,37.87811739,-122.3074616,point,"-122.30746200038038,37.87811700022431"
556,incident,12/15/2013,bike,day,,,sev,no-yield,"My wife was walking her bicycle across Ashby because that intersection was (and still is) too dangerous to bike across, in the crosswalk, and when the Ashby traffic stopped for her (pedestrian) a car driver turned left from Hillegass onto Ashby and plowed right through her. Her bike helmet broke the window of the car and she was rushed to Highland to check for head injuries (which fortunately she didn't have thanks to her bike helmet).",,yes,,,,,,,,,,,"Hillegass Ave & Ashby Ave, Berkeley, CA, 94705, USA",2019/05/10,37.856727,-122.255505,point,"-122.25550500022896,37.85672699993149"
557,nearMiss,01/2019,bike,day,driver,,none,,,other,,,,,,,,,,,,"Fulton St & Carleton St, Berkeley, CA, 94704, USA",2019/05/10,37.861569,-122.2646805,point,"-122.26467999997719,37.86156899970645"
558,nearMiss,11/2018,bike,day,driver,,none,,,,,,,,,,,,,,,"Shattuck Ave & Oregon St, Berkeley, CA, 94705, USA",2019/05/10,37.857618,-122.2668135,point,"-122.266813000212,37.857618000338526"
561,nearMiss,05/06/2019,walk,day,"driver, ped",,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"2000-2010 Ashby Ave, Berkeley, CA, 94703, USA",2019/05/10,37.85469149,-122.2689339,point,"-122.26893399985292,37.85469100015363"
564,nearMiss,04/2016,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"2515 Channing Way, Berkeley, CA, 94720, USA",2019/05/11,37.867347,-122.2574625,point,"-122.25746199983837,37.86734699996895"
585,incident,05/20/2019,bike,day,driver,,none,"poor-bikelane, obstacle, no-yield","An SUV was turning left out of the parking lot, and couldn't see due to parked cars on the north side of Channing blocking the view of the bike path. Rather than go slowly until they could see the path was clear, they went slowly without looking for people in the bike lane, and so they hit me and knocked me off my bike. ",,yes,,,,,,,,,,,"2041-2099 Channing Way, Berkeley, CA, 94704, USA",2019/05/20,37.86578286,-122.2680199,point,"-122.26801999998392,37.865782999735394"
588,nearMiss,05/2019,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"2048-2084 Center St, Berkeley, CA, 94704, USA",2019/05/21,37.87008576,-122.269217,point,"-122.26921699971012,37.87008599986005"
589,nearMiss,02/2019,bike,night,driver,,none,,,"no-yield, other",,,,,,,,,,,,"2301-2399 Martin Luther King Jr Way, Berkeley, CA, 94704, USA",2019/05/21,37.86522927,-122.2722466,point,"-122.27224700009548,37.86522900022199"
590,incident,06/2017,bike,day,driver,,minor,"no-yield, other",Driver ran red light on Durant. I hit the side of their car crossing the intersection southbound on Dana with a green light because I did not brake in time to avoid the collision.  My brakes were in poor condition.  I had minor scrapes and my bike fork was bent. The side of the car was damaged.,,yes,,,,,,,,,,,"2401-2417 Durant Ave, Berkeley, CA, 94704, USA",2019/05/21,37.86759838,-122.2612198,point,"-122.26122000031985,37.867597999866575"
591,unsafe,,,,,,,,,,,"walk, bike",day,"no-yield, driving-speed",,,,,,,,"2172-2198 California St, Berkeley, CA, 94703, USA",2019/05/21,37.86791401,-122.2795568,point,"-122.27955700029582,37.86791400010414"
628,positive,,,,,,,,,,,,,,"walk, bike","good-sidewalk, good-bikelane",,,,,,"I-580 E, Berkeley, CA, 94710, USA",2019/05/22,37.86560221,-122.3035522,point,"-122.30355199956294,37.86560200014123"
630,positive,,,,,,,,,,,,,,"walk, bike, ride, other",,,,,,,"2900-2938 Hillegass Ave, Berkeley, CA, 94705, USA",2019/05/22,37.85673949,-122.2555759,point,"-122.25557600037408,37.85673899994881"
695,nearMiss,05/06/2019,bike,day,driver,,none,,,no-yield,,,,,,,,,,,,"760-888 Santa Barbara Rd, Berkeley, CA, 94707, USA",2019/06/03,37.8962142,-122.270736,point,"-122.2707359996516,37.896214000191286"
696,incident,06/2019,bike,day,driver,,minor,unsafe-speed,I was biking East on Blake St and estimated that I had enough time to reach the median. A car moving south on sacramento was moving much faster than normal traffic and hit me. Suggestion: enforce speeds on Sacramento,,yes,,,,,,,,,,,"Sacramento St & Blake St, Berkeley, CA, 94702, USA",2019/06/03,37.861344,-122.280705,point,"-122.2807049996182,37.861343999792915"
697,unsafe,,,,,,,,,,,"walk, bike, ride","day, night","poor-lighting, poor-sign, driving-speed",,,,,,,,"1800-1898 Stuart St, Berkeley, CA, 94703, USA",2019/06/03,37.85790063,-122.2715342,point,"-122.27153400006794,37.85790100005693"
698,incident,12/2015,bike,day,driver,,minor,car-door,I was biking up Milvia when a car door hit my right arm and bike brake/handle/ I fell into the street and had large bruises on my arm and leg.,,no,,,,,,,,,,,"2001-2023 Center St, Berkeley, CA, 94704, USA",2019/06/03,37.87001881,-122.2705202,point,"-122.27051999974154,37.87001900011158"
700,incident,04/2019,other,day,driver,,,,"the street doesn't have traffic lights, MLK is very wide with a lot of traffic and is very dangerous",,yes,,,,,,,,,,,"2502-2528 Martin Luther King Jr Way, Berkeley, CA, 94704, USA",2019/06/03,37.86243997,-122.2720842,point,"-122.27208399988884,37.862440000078905"
702,nearMiss,05/2019,walk,day,bike,,none,,,"poor-bikelane, poor-street, no-yield",,,,,,,,,,,,"2168 Shattuck Ave, Berkeley, CA, 94704, USA",2019/06/03,37.86972271,-122.268035,point,"-122.26803500005254,37.869723000207884"
703,nearMiss,06/03/2019,walk,day,driver,,none,,,no-yield,,,,,,,,,,,,"Sacramento St, Berkeley, CA, 94702, USA",2019/06/04,37.872135,-122.2822305,point,"-122.2822310001307,37.87213500004221"
704,unsafe,,,,,,,,,,,bike,"day, night",other,,,,,,,,"1601-1699 62nd St, Berkeley, CA, 94703, USA",2019/06/05,37.84671153,-122.2732138,point,"-122.27321399966792,37.84671199981176"
705,positive,,,,,,,,,,,,,,"walk, bike",good-sign,,,,,,"2998 King St, Berkeley, CA, 94703, USA",2019/06/05,37.85410609,-122.2742955,point,"-122.27429499994146,37.85410600011072"
708,nearMiss,05/2019,bike,day,driver,,none,,,other,,,,,,,,,,,,"2825-2899 Milvia St, Berkeley, CA, 94703, USA",2019/06/10,37.85650259,-122.2689782,point,"-122.26897800023384,37.85650300019515"
997,incident,10/2016,bike,day,driver,,minor,unsafe-speed,A car ran a red light and hit me on my bike.,,no,,,,,,,,,,,"2251-2259 Shattuck Ave, Berkeley, CA, 94704, USA",2019/07/26,37.86851345,-122.2677268,point,"-122.26772700008098,37.8685129997976"
1313,incident,08/2019,bike,day,driver,,none,no-yield,"Stopped at stop sign on Allston heading east. Signaled to turn left onto California. Signaled before entering traffic circle, and while continuing straight. Stopped signaling as I began the left turn in the circle. Driver stopped at westbound Allston stop sign drove into intersection as I was still in the traffic circle. Was hit by the front of the vehicle on the entire right hand side of the bike in the traffic circle. I fell over. Damage to bike basket which was hanging on the rear rightside-rack and the rack support broke.",,yes,,,,,,,,,,,"2201-2299 California St, Berkeley, CA, 94703, USA",2019/10/09,37.86786381,-122.2794058,point,"-122.27940599978476,37.86786399968103"
1314,nearMiss,10/2019,bike,night,driver,,none,,,"curving, no-yield",,,,,,,,,,,,"1201-1233 Addison St, Berkeley, CA, 94702, USA",2019/10/09,37.86869752,-122.2880737,point,"-122.28807400026807,37.86869800034422"
1315,unsafe,,,,,,,,,,,"walk, bike",day,no-yield,,,,,,,,"2825-2869 9th St, Berkeley, CA, 94710, USA",2019/10/09,37.85396163,-122.289628,point,"-122.28962800036966,37.853962000304854"
1327,incident,10/20/2019,walk,day,"driver, ped",,,no-yield,,,,,,,,,,,,,,"2022 Emerson St, Berkeley, CA, 94703, USA",2019/10/20,37.85429724,-122.2679517,point,"-122.26795200021186,37.854296999793696"
1364,nearMiss,11/07/2019,walk,day,,,,,,gravel,,,,,,,,,,,,"Mudrakers Cafe, 2801 Telegraph Ave, Berkeley, CA, 94705, USA",2019/11/07,37.85943,-122.25921,point,"-122.25921000010871,37.85943000006483"
1375,positive,,,,,,,,,,,,,,"walk, bike, skateboard","safe-speed, good-sidewalk, good-sign",,,,,,"2701-2705 Ashby Ave, Berkeley, CA, 94705, USA",2019/11/09,37.8570898,-122.2530711,point,"-122.25307099969528,37.85708999976871"
1378,unsafe,,,,,,,,,,,"walk, bike, ride","day, night","no-yield, driving-speed",,,,,,,,"1579-1599 Ashby Ave, Berkeley, CA, 94703, USA",2019/11/09,37.85359327,-122.277039,point,"-122.27703900009654,37.8535930000503"
1379,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, obstacle, no-yield, driving-speed",,,,,,,,"1315 Ashby Ave, Berkeley, CA, 94702, USA",2019/11/09,37.85290416,-122.2830848,point,"-122.2830849997252,37.85290400023812"
1382,nearMiss,08/2019,walk,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"3200 Shattuck Ave, Berkeley, CA, 94705, USA",2019/11/10,37.8522,-122.2663275,point,"-122.2663269999652,37.85219999996008"
1443,incident,11/2019,walk,day,driver,,none,,"In November, 2 cars drove into the traffic circle at the intersection of spruce and vine. We are aware of 8 or 9 such incidents since the traffic circle was reconfigured to be a rain collector. drivers dont realize that the circle is recessed and drive over the curb, falling in. the city has not repaired the broken signs, missing raised pavement markers, or replanted the circle to make it visible.",,yes,,,,,,,,,,,"2229 Vine St, Berkeley, CA, 94709, USA",2019/11/20,37.880865,-122.265783,point,"-122.26578299999206,37.880865000049496"
1470,unsafe,,,,,,,,,,,walk,"day, night","poor-sidewalk, poor-sign, no-yield",,,,,,,,"1816 Ashby Ave, Berkeley, CA, 94703, USA",2019/11/25,37.85410027,-122.2724395,point,"-122.27244000043933,37.854100000242646"
1473,nearMiss,07/2019,bike,day,"driver, ped",,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"2962-2998 California St, Berkeley, CA, 94703, USA",2019/11/25,37.85360198,-122.2770209,point,"-122.27702099965488,37.85360200026877"
1476,unsafe,,,,,,,,,,,bike,"day, night",poor-bikelane,,,,,,,,"1970-1998 Russell St, Berkeley, CA, 94703, USA",2019/11/26,37.85637,-122.2689223,point,"-122.26892200015736,37.8563700001183"
1478,nearMiss,02/2019,walk,day,"driver, bike",,none,,,"poor-bikelane, unsafe-speed",,,,,,,,,,,,"2111-2129 Kittredge St, Berkeley, CA, 94704, USA",2019/11/26,37.86865608,-122.267129,point,"-122.26712899968118,37.86865600035288"
1519,unsafe,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed, other",,,,,,,,"San Pablo Ave, Berkeley, CA, 94710, USA",2019/11/30,37.86451335,-122.2907291,point,"-122.2907289998364,37.8645129997581"
1520,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-lighting, no-yield, driving-speed",,,,,,,,"900-908 Ashby Ave, Berkeley, CA, 94710, USA",2019/11/30,37.85097802,-122.2910585,point,"-122.29105799972437,37.850978000289516"
1836,nearMiss,12/09/2019,walk,day,"driver, ped",,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"924-998 Hearst Ave, Berkeley, CA, 94710, USA",2019/12/13,37.86969827,-122.2959072,point,"-122.29590699962682,37.8696980002598"
1857,unsafe,,,,,,,,,,,"walk, bike","day, night","no-yield, driving-speed",,,,,,,,"Virginia St, Berkeley, CA, 94710, USA",2019/12/17,37.87343553,-122.2935613,point,"-122.293561,37.873436"
1884,unsafe,,,,,,,,,,,bike,"day, night","poor-sign, driving-speed",,,,,,,,"2901-2939 Hillegass Ave, Berkeley, CA, 94705, USA",2019/12/24,37.85674896,-122.2554315,point,"-122.255431,37.856749"
1892,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-sign, no-yield, driving-speed",,,,,,,,"San Pablo Ave, Berkeley, CA, 94710, USA",2019/12/26,37.87353686,-122.2936228,point,"-122.293623,37.873537"
1893,unsafe,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed",,,,,,,,"2000-2010 Ashby Ave, Berkeley, CA, 94703, USA",2019/12/26,37.85490846,-122.2686018,point,"-122.268602,37.854908"
1894,unsafe,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed",,,,,,,,"3001 Fulton St, Berkeley, CA, 94705, USA",2019/12/26,37.8555458,-122.2634319,point,"-122.263432,37.855546"
2062,incident,02/2020,walk,day,driver,,none,poor-sidewalk,b,,no,,,,,,,,,,,"Newman Center, Berkeley, CA, USA",2020/02/26,37.86548,-122.25358,point,"-122.25358,37.86548"
2073,nearMiss,09/2019,walk,day,driver,,none,,,"no-yield, unsafe-speed",,,,,,,,,,,,"2600-2606 Haste St, Berkeley, CA, 94720, USA",2020/02/27,37.86627904,-122.2563034,point,"-122.256303,37.866279"
2101,unsafe,,,,,,,,,,,bike,day,,,,,,,,,"1701-1779 Arch St, Berkeley, CA, 94709, USA",2020/03/11,37.8772805,-122.2641664,point,"-122.264166,37.877281"
2121,unsafe,,,,,,,,,,,,,,,,,,,,,"1807 Addison St, Berkeley, CA, 94703, USA",2020/03/30,37.870659,-122.2748145,point,"-122.274814,37.870659"
2125,unsafe,,,,,,,,,,,walk,"day, night",driving-speed,,,,,,"speed, signs, enforcement",,"Shattuck Ave, Berkeley, CA, 94704, USA",2020/04/09,37.86404233,-122.267417,point,"-122.267417,37.864042"
2132,unsafe,,,,,,,,,,,walk,"day, night","poor-street, poor-lighting, no-yield, driving-speed",,,,,,"pavement, signs, enforcement",,"2032-2098 Dwight Way, Berkeley, CA, 94704, USA",2020/04/15,37.86390963,-122.267442,point,"-122.267442,37.86391"
2609,incident,,walk,,,,,,,,,,,,,,,,,,,"Dwight Way, Berkeley, CA, 94704, USA",2020/11/06,37.86397826,-122.2673606,point,"-122.267361,37.863978"
2610,incident,,walk,,,,,,,,,,,,,,,,,,,"Dwight Way, Berkeley, CA, 94704, USA",2020/11/06,37.86397826,-122.2673606,point,"-122.267361,37.863978"
2679,nearMiss,09/2020,bike,day,driver,,minor,,,"no-yield, unsafe-speed",,,,,,,,no,,"speed, bikelane, signs, education, enforcement",,"2162-2198 Dwight Way, Berkeley, CA, 94704, USA",2020/11/19,37.86418171,-122.2652725,point,"-122.265272,37.864182"
2805,nearMiss,12/2020,bike,day,driver,,none,,,no-yield,,,,,,,,no,,"education, enforcement, other",Parked cars were blocking the driver’s view. The area near the stop sign should be painted red more prominently so that drivers do not park there and prevent other drivers from seeing. Parking violations could then be enforced better in those residential areas.,"1040-1066 Cragmont Blvd, Berkeley, CA, 94708, USA",2020/12/19,37.89070361,-122.2638593,point,"-122.263859,37.890704"
2913,nearMiss,05/06/2021,walk,day,driver,,none,,,unsafe-speed,,,,,,,,,,speed,,"Marin Ave & Tulare Ave, Berkeley, CA, 94707, USA",2021/05/06,37.88941002,-122.2818599,point,"-122.28186,37.88941"
3063,incident,,other,day,driver,,none,"poor-bikelane, no-yield, unsafe-speed","Crashes happen here so often that we can hear it from our living room! At least 1-2 per month or more. A light, or stop sign, or something would help a lot. ",,yes,,,,,,,,,"speed, bikelane, signs, crosswalks, education, enforcement, community",This is a very dangerous corner. I wish the City of Berkeley would do something about it. ,"1900-1998 Blake St, Berkeley, CA, 94704, USA",2021/10/12,37.86238503,-122.2719882,point,"-122.271988,37.862385"
3666,nearMiss,06/2022,walk,day,driver,,none,,,"poor-sign, no-yield, unsafe-speed","drivers routinely yield at the last possible second here, or have to slam on the brakes. Intersection needs a clearly painted crosswalk, stop sign, or speed bumps.""",,,,,,,,,,"speed, signs, crosswalks, enforcement",,"1500-1598 Walnut St, Berkeley, CA, 94709, USA",2022/08/16,37.87855505,-122.2680422,point
3799,unsafe,,,,,,,,,,,"walk, bike, scooter, ride",day,"poor-sidewalk, poor-bikelane, poor-street, poor-lighting, no-yield",,,,,,"speed, signs, crosswalks",,"2200-2228 Virginia St, Berkeley, CA, 94709, USA",2023/01/28,37.87681575,-122.2666304,point,"-122.26663,37.876816"
3816,nearMiss,12/2022,walk,day,"driver, ped, bike",,none,,,"poor-sign, no-yield, unsafe-speed",,,,,,,,,,"speed, bikelane, signs, crosswalks, enforcement",,"San Pablo Ave, Berkeley, CA, 94702, USA",2023/02/01,37.87342484,-122.2934725,point,"-122.293472,37.873425"
3819,nearMiss,01/2023,walk,night,"driver, ped",,none,,,no-yield,,,,,,,,,,"speed, lighting, signs, crosswalks, education, enforcement",,"1889-1899 University Ave, Berkeley, CA, 94703, USA",2023/02/01,37.87165242,-122.2731483,point,"-122.273148,37.871652"
3830,nearMiss,01/2023,walk,day,driver,,none,,,"no-yield, car-door",,,,,,,,,,enforcement,,"2276-2298 Durant Ave, Berkeley, CA, 94704, USA",2023/02/02,37.86714899,-122.2635614,point,"-122.263561,37.867149"
3843,nearMiss,01/28/2023,walk,day,"driver, ped",,none,,,no-yield,,,,,,,,,,enforcement,,"University Ave, Berkeley, CA, 94704, USA",2023/02/05,37.87210977,-122.2683456,point,"-122.268346,37.87211"
3846,unsafe,,,,,,,,,,,"walk, transit","day, night","no-yield, driving-speed",,,,,,"speed, enforcement",,"2301-2349 Telegraph Ave, Berkeley, CA, 94704, USA",2023/02/05,37.86808909,-122.2590026,point,"-122.259003,37.868089"
3849,unsafe,,,,,,,,,,,bike,"day, night",driving-speed,,,,,,"bikelane, education, community",,"Family Counseling & Mediation Center, 2832 College Ave, Berkeley, CA, 94705, USA",2023/02/05,37.858775,-122.253525,point,"-122.253525,37.858775"
3850,unsafe,,,,,,,,,,,"walk, bike","day, night","poor-bikelane, poor-street, no-yield, driving-speed",,,,,,"bikelane, education, community",,"Shattuck Ave, Berkeley, CA, 94705, USA",2023/02/05,37.86010153,-122.2672831,point,"-122.267283,37.860102"
3851,unsafe,,,,,,,,,,,bike,"day, night","no-yield, driving-speed",,,,,,"speed, signs",,"2901-2925 Hillegass Ave, Berkeley, CA, 94705, USA",2023/02/06,37.8581321,-122.2555947,point,"-122.255595,37.858132"
3852,unsafe,,,,,,,,,,,walk,"day, night","no-yield, driving-speed",,,,,,"speed, education, community",,"2700-2726 Durant Ave, Berkeley, CA, 94704, USA",2023/02/08,37.86830271,-122.2544432,point,"-122.254443,37.868303"
3853,nearMiss,02/07/2023,walk,night,driver,,none,,,"unsafe-speed, other",,,,,,,,,,"speed, signs, crosswalks, education, enforcement",,"Allston Way, Berkeley, CA, 94704, USA",2023/02/08,37.8696814,-122.2658702,point,"-122.26587,37.869681"
3857,incident,09/29/2022,bike,day,driver,,minor,"poor-bikelane, no-yield","I was waiting at a red light in the center of the lane on my bike; there was no bike lane. A car behind me stuck my rear wheel, throwing me to the ground. Someone drove me to the emergency room; I had hand and arm pain for months from bone contusions, but no major fractures. The bike was partially destroyed, twisted metal. The driver claims he thought it was a green light (it was not), and also that he didn't  see me directly in front of him. I was wearing a day-glo helmet and had a day-glo pannier/backpack to prevent this, but he hit me anyway. If he had gone two feet further I probably would have died.",,yes,,,,,,,no,,"speed, bikelane, pavement, benches, community, other",More car free streets. ,"1101-1105 Allston Way, Berkeley, CA, 94702, USA",2023/02/08,37.86646663,-122.2910905,point,"-122.29109,37.866467"
3858,nearMiss,02/08/2023,scooter,night,"driver, scooter",bikelane,none,,,,,,,,,,,,bikelane,,Make it clear to motorised vehicles that this is a shared land,"2468-2474 Bancroft Way, Berkeley, CA, 94704, USA",2023/02/08,37.86858356,-122.2598749,point,"-122.259875,37.868584"
3859,nearMiss,,walk,day,"driver, ped",,none,,,no-yield,,,,,,,,,,"signs, crosswalks",,"2693-2699 Channing Way, Berkeley, CA, 94704, USA",2023/02/09,37.86753409,-122.2543288,point,"-122.254329,37.867534"
3860,incident,,walk,,,,,,,,,,,,,,,,,,,"East Bay School for Boys, 2340 Durant Ave, Berkeley, CA, 94704, USA",2023/02/09,37.86749,-122.26144,point,"-122.26144,37.86749"
3862,nearMiss,02/12/2023,scooter,day,driver,,none,,,unsafe-speed,,,,,,,,,street,"speed, bikelane, enforcement","Add speed traps and cameras. This is unacceptable that bikers, e-scooters, and e-skateboard rides who lawfully ride on the side of the roads have been almost killed by these reckless people.","2320-2368 College Ave, Berkeley, CA, 94704, USA",2023/02/12,37.86798338,-122.2544629,point,"-122.254463,37.867983"
